brand,category,design,size,color,sets,price,,,
SUNBY,FROCKS,2504,18x26,PINK,5,0,,,
SUNBY,FROCKS,2504,18x26,BLUE,5,0,,,
SUNBY,FROCKS,2504B,28x34,PINK,4,0,,,
SUNBY,FROCKS,2504B,28x34,BLUE,4,0,,,
SUNBY,FROCKS,2328,18x26,PINK,5,0,,,
SUNBY,FROCKS,2328B,28x34,PINK,4,0,,,
SUNBY,FROCKS,2185,18x26,PINK,5,0,,,
SUNBY,FROCKS,2185B,28x34,PINK,5,0,,,
SUNBY,FROCKS,2502,18x26,PINK,5,0,,,
SUNBY,FROCKS,2502,18x26,YELLOW ,5,0,,,
SUNBY,FROCKS,2502B,28x34,PINK,4,0,,,
SUNBY,FROCKS,2502B,28x34,YELLOW ,4,0,,,
SUNBY,TWO_PIECE_PLAZO,2327B,28x34,PEACH,4,0,,,
SUNBY,TWO_PIECE_PLAZO,2327B,28x34,ONION,4,0,,,
SUNBY,TWO_PIECE_PLAZO,2327B,28x34,MUSTARD,4,0,,,
SUNBY,TWO_PIECE_PANT,2322,18x26,A,5,0,,,
SUNBY,TWO_PIECE_PANT,2322B,28x34,A,4,0,,,
SUNBY,JUMP_SUIT,2416,18x26,LIGHT_DENIM,5,0,,,
SUNBY,JUMP_SUIT,2416,28x34,DARK _DENIM,4,0,,,
SUNBY,FROCKS,2501B,28x34,A,4,0,,,
SUNBY,FROCKS,2248B,28x34,A,4,0,,,
SUNBY,FROCKS,2248B,28x34,B,4,0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
